,ImageID,ImgType,Projection,Pred,result
0,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/745426186296137026092131574482609286_w816cr.png,PA,PA,PA,True
1,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/164243956768694354395063757043309057546_rxymcw.png,PA,PA,PA,True
2,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/296979268865227379306297282886171237400_gq0xc0.png,PA,PA,PA,True
3,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/16506594310152250606114707036608886442_m9la8g.png,PA,PA,PA,True
4,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/66510430656452508185967563229770494327_s3xsdh.png,PA,PA,PA,True
5,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/178625186202879405768922028238062691869_ygb8yl.png,PA,PA,PA,True
6,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/264352778400634537087911138134165859994_jq6ywk.png,L,L,L,True
7,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/221871370610412370993010306444208546743_4_wkhir3.png,AP_horizontal,AP_horizontal,AP_horizontal,True
8,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_SHOULDER/patient11751/study1_negative/image1.png,SHOULDER,Otro,Otro,True
9,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/94841696103684218302205254835945879635_1yb0cz.png,L,L,L,True
10,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_SHOULDER/patient11267/study2_negative/image3.png,SHOULDER,Otro,Otro,True
11,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/193558076259076034821641357360564078281_aegwl4.png,PA,PA,PA,True
12,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/77909048367121796476018518481385437366_w039bh.png,PA,PA,PA,True
13,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/311868854900940942997059290779695497317_80mj2u.png,L,L,L,True
14,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/175529610319945106600023923144127243700_vfeuoh.png,AP_horizontal,AP_horizontal,AP_horizontal,True
15,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/58402159664084131569060773404429916205_g3xx1y.png,L,L,L,True
16,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/45357059716545657715160207434796959660_l4rh1m.png,L,L,L,True
17,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/293511538254741136856420447064449569470_ksyjtf.png,PA,PA,PA,True
18,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/30024163396954840951285280007332085898_dw4jiv.png,PA,PA,PA,True
19,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/187660576483932216481132234854686823279_9ud890.png,L,L,L,True
20,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/303111996616421609283216598461965018603_koeatq.png,L,L,L,True
21,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/56548960219674265255449155377628950080_8_ypar41.png,AP_horizontal,AP_horizontal,AP_horizontal,True
22,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/231730050203308811368611569405385388920_3551u9.png,L,L,L,True
23,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/195104315888287303256935277428854083903_teo4sp.png,L,L,L,True
24,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/56690289317551535739778147668451774948_r0hk7y.png,L,L,L,True
25,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/36226773519293430723290103229974844937_-ojw00.png,PA,PA,PA,True
26,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/169959517548585795465906593202423814627_pbfljj.png,L,L,L,True
27,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/1880768013294533391624962142008747051_5l0o7r.png,PA,PA,PA,True
28,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/251561778488763397287174413094584834472_22lxam.png,L,L,L,True
29,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/161930867337531550944965469558051122332_l09l3o.png,PA,PA,PA,True
30,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/30753662010163663989214153520134619985_3djb9k.png,PA,PA,PA,True
31,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/6678974024033446468828509401215870679_c740b9.png,L,L,L,True
32,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/97021545824856863739357899152123567650_xltsr6.png,PA,PA,PA,True
33,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/169186835517431445714008197900987902751_7icvc9.png,PA,PA,PA,True
34,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/95146475003335376363508827250280257813_vdwq21.png,L,L,L,True
35,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/29010280660556745504512711986817309955_60llj8.png,PA,PA,PA,True
36,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/70321766514089231703010100489523120513_44z0b1.png,PA,PA,PA,True
37,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/244819574439291367601807118226894719234_w1uoow.png,PA,PA,PA,True
38,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/12329058540775861785219636006540538508_44zn80.png,PA,PA,PA,True
39,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/200091805843995760185935816057364706553_tf0voj.png,PA,PA,PA,True
40,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/35916376741792547518668789445789434588_slr21t.png,PA,PA,PA,True
41,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/6/41512491274927117414295439586404191227_9dfxdq.png,PA,PA,PA,True
42,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/61360855099940650183672486448335512614_ni944u.png,PA,PA,PA,True
43,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_ELBOW/patient11287/study1_negative/image2.png,ELBOW,Otro,Otro,True
44,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/133399865380000151828665610510127551238_fvhb2z.png,L,L,L,True
45,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/332238727078365511665250652939639786366_sme3u6.png,L,L,L,True
46,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/99072068009712518821028609162921939068_itv1ob.png,PA,PA,PA,True
47,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/306964414915976295589248946586922055248_mj9lhq.png,L,L,L,True
48,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/117212308904124032179648706209039257254_bhp0gw.png,PA,PA,PA,True
49,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/271482609206528203767267292990572404305_3x9s9q.png,PA,PA,PA,True
50,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/81911187356041919740252261512967515670_scmlnb.png,PA,PA,PA,True
51,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/90529381295531141105756200662596454255_pc1mlp.png,PA,PA,PA,True
52,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_FOREARM/patient11418/study1_positive/image1.png,FOREARM,Otro,Otro,True
53,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/265764212651058431721320302492075276208_u3gjw5.png,PA,PA,PA,True
54,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/313697209576187055457395864503092360851_8joobi.png,PA,PA,PA,True
55,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_SHOULDER/patient11236/study1_negative/image1.png,SHOULDER,Otro,Otro,True
56,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/6904785828863630069158047565022505915_yj58zi.png,PA,PA,PA,True
57,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/192785540539890099097248079497194553821_vow6ra.png,L,L,L,True
58,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/314129801942842720042954911424723925237_2_2vl8eg.png,PA,PA,PA,True
59,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/315981254469382433409983189021622547048_n2hz4g.png,PA,PA,PA,True
60,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/37652485792106300495369078713160079478_qlwy0s.png,L,L,L,True
61,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/14510437484865431778592756295416161721_5ir9vv.png,PA,PA,PA,True
62,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_ELBOW/patient11775/study1_negative/image2.png,ELBOW,Otro,Otro,True
63,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/235766769742548780521556421325747551201_l38dqw.png,PA,PA,PA,True
64,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/119430875022556480920954550323377350075_76ptz8.png,PA,PA,PA,True
65,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/299668593580796049473370507047938499431_xtvi9z.png,PA,PA,PA,True
66,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/6/207766945287870846113538557649412487857_qmadl4.png,PA,PA,PA,True
67,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/23585232626586323242858638467472628908_ly37kb.png,PA,PA,PA,True
68,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/63487136239391941594781094159648142893_gqzn22.png,L,L,L,True
69,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/88082788424129610358717737871863427672_cpdzf6.png,PA,PA,PA,True
70,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_FINGER/patient11859/study1_negative/image3.png,FINGER,Otro,Otro,True
71,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/74234944498804111106577318785690007521_j3naiu.png,PA,PA,PA,True
72,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/194484754413661724876887797917764741855_lel9c7.png,L,L,L,True
73,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/272185644455893872736033794750079820913-2_m5sxsu.png,L,L,L,True
74,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/316361651405739299755664232041129687749-2_7nzcp7.png,PA,PA,PA,True
75,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/314586440849888644375076239034523544977_zy6av0.png,PA,PA,PA,True
76,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/321447499100330133165801765887312551684_ruqzip.png,PA,PA,PA,True
77,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/120449615961424864403694655154449458126_j15hnw.png,L,L,L,True
78,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_WRIST/patient11298/study1_negative/image1.png,WRIST,Otro,Otro,True
79,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/313819868886175494030367518165756393772_jupxe4.png,PA,PA,PA,True
80,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_FOREARM/patient11258/study1_positive/image2.png,FOREARM,Otro,Otro,True
81,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/133210539445032121331662345595409912236_g35g96.png,PA,PA,PA,True
82,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/297686553169137952405581819592891422378-2_yeq4fr.png,PA,PA,PA,True
83,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/221156315309245633535911246020902861153_8iug6u.png,PA,PA,PA,True
84,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/128324925962309066362709683330779948813_atw6ys.png,L,L,L,True
85,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/172827268784454249605669787506417054171_n24iwj.png,L,L,L,True
86,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/6/160200614896801759799704778385034472953_ghrwxd.png,PA,PA,PA,True
87,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/29983603348094754629703218960115649141_luhgrp.png,PA,PA,PA,True
88,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/332921246959167224496478064015741376102_xxmg30.png,PA,PA,PA,True
89,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/112726686044325890573754388064451961893_kqntb3.png,L,L,L,True
90,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/237240095778672265147722628862511287348_2_8xwmek.png,PA,PA,PA,True
91,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/5/182564681044739272883259501149043997030_q555r2.png,L,L,L,True
92,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_ELBOW/patient11867/study1_negative/image1.png,ELBOW,Otro,Otro,True
93,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/276565615735173060110090326748583009838_7ewdh4.png,PA,PA,PA,True
94,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/180474556445021481678263735273169682979_6qrdhi.png,PA,PA,PA,True
95,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/204799444041729637468186547962149441017_y5keir.png,PA,PA,PA,True
96,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/279706872314715245585202872623233111678_hxks2k.png,PA,PA,PA,True
97,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/16393031964398570312121533291164177251_nntbfn.png,PA,PA,PA,True
98,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/6/297764347455193662099855753039448965757_r55nb1.png,L,L,L,True
99,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/26474131662318742787209218640409268231_uqk4md.png,PA,PA,PA,True
100,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/312424926111817201226313003947655635047_jsbkmm.png,L,L,L,True
101,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/194107606806361346157479030020602641969_3zoibh.png,PA,PA,PA,True
102,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/309598742672070734658922863244172462018_ux3pos.png,AP_horizontal,AP_horizontal,AP_horizontal,True
103,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/6/222526572122215990219992479418524833035_tk5ilz.png,AP_horizontal,AP_horizontal,AP_horizontal,True
104,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_ELBOW/patient11809/study1_positive/image2.png,ELBOW,Otro,Otro,True
105,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/2/239549804711624197238286511887299212684_x5wwm5.png,L,L,L,True
106,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/7/134208619857484024707368354127098054389_7_r43uqm.png,AP_horizontal,AP_horizontal,AP_horizontal,True
107,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/65881451725257859619892635253228105044_5b72aq.png,PA,PA,PA,True
108,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/4/22040950506725744075316174862149923165_kncpvm.png,PA,PA,PA,True
109,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/3/300817317447185346162218874771726826620_p3w3aq.png,L,L,L,True
110,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/0/91046824590296218285321995116548320507_vq78pf.png,PA,PA,PA,True
111,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/MURA-v1.1/valid/XR_ELBOW/patient11808/study1_positive/image4.png,ELBOW,Otro,Otro,True
112,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/144938143487133782433806431193945039048_jh77k7.png,AP_horizontal,AP_horizontal,AP_horizontal,True
113,/content/drive/MyDrive/Quinto_Anio/TESIS_Eugenia_Berrino/DS_comp_nodef/1/176562004454312608814434682002238615662_kerrnw.png,PA,PA,PA,True
